  distance  queryIdx  trainIdx    imgIdx
      0.03         0         2         0
      0.05         2        26         0
      0.06         4        17         0
      0.06         7        25         0
      0.05         9        44         0
      0.04        14        46         0
      0.05        15        43         0
      0.06        20        66         0
      0.04        22        56         0
      0.06        35        54         0
      0.04        51        91         0
      0.03        53        75         0
      0.04        70       123         0
      0.03        81       124         0
      0.06        90       162         0
      0.05        92       168         0
      0.03        93       181         0
      0.03       119       209         0
      0.06       123       208         0
      0.06       127       213         0
      0.04       137       261         0
      0.05       143       277         0
      0.05       163       323         0
      0.05       180       292         0
      0.03       182       253         0
      0.03       247       297         0
      0.06       251       342         0
      0.06       262       336         0
      0.04       277       380         0
      0.04       321       398         0
      0.04       329       387         0
      0.03       368       561         0
      0.04       405       462         0
      0.05       448       547         0
      0.04       454       560         0
      0.03       456       497         0
      0.04       464       525         0
      0.05       480       555         0
      0.05       494       540         0
      0.06       498       517         0
      0.05       504       621         0
      0.05       515       623         0
      0.05       539       629         0
      0.04       566       679         0
      0.05       584       508         0
      0.06       589       523         0
      0.05       591       656         0
      0.06       597       740         0
      0.05       598       664         0
      0.05       630       851         0
      0.03       633       696         0
      0.05       685       852         0
      0.06       710       783         0
      0.04       713       758         0
      0.04       732       761         0
      0.04       755       824         0
      0.05       762      1081         0
      0.04       770       881         0
      0.03       777       798         0
      0.05       796       901         0
      0.05       859       987         0
      0.05       870       843         0
      0.05       899      1086         0
      0.05       920      1139         0
      0.04      1064      1203         0
      0.04      1077      1119         0
      0.03      1124      1348         0
      0.04      1144      1464         0
      0.06      1156      1127         0
      0.04      1165      1091         0
      0.06      1183      1046         0
      0.05      1186      1125         0
      0.06      1207      1317         0
      0.05      1248      1044         0
      0.05      1252      1337         0
      0.03      1256      1449         0
      0.06      1278      1333         0
      0.05      1282      1409         0
      0.03      1283      1361         0
      0.05      1308      1421         0
      0.04      1314      1349         0
      0.06      1317      1478         0
      0.06      1324      1035         0
      0.05      1332      1457         0
      0.05      1388      1314         0
      0.05      1394      1500         0
      0.04      1424      1367         0
      0.05      1427      1292         0
      0.06      1462      1442         0
      0.06      1484      1155         0
      0.04      1512      1624         0
      0.02      1523      1269         0
      0.06      1553      1849         0
      0.04      1560      1640         0
      0.05      1568      1612         0
      0.05      1574      1435         0
      0.03      1609      1558         0
      0.05      1610      1824         0
      0.03      1619      1546         0
      0.05      1632      1530         0
      0.06      1679      1942         0
      0.03      1688      1775         0
      0.02      1721      1946         0
      0.05      1739      1736         0
      0.04      1770      1549         0
      0.02      1786      1686         0
      0.04      1811      2047         0
      0.05      1812      1989         0
      0.05      1832      1851         0
      0.05      1861      1703         0
      0.04      1863      1927         0
      0.06      1907      2532         0
      0.06      1917      1650         0
      0.06      1924      2037         0
      0.06      1938      1933         0
      0.04      1981      2033         0
      0.06      2016      1908         0
      0.04      2031      2410         0
      0.05      2062      1919         0
      0.04      2112      1999         0
      0.06      2122      2101         0
      0.05      2144      2291         0
      0.04      2161      2176         0
      0.06      2171      2060         0
      0.06      2198      2105         0
      0.06      2199      2124         0
      0.05      2200      2161         0
      0.06      2201      2130         0
      0.04      2250      2363         0
      0.05      2264      2343         0
      0.04      2322      2371         0
      0.05      2323      2441         0
      0.05      2354      2125         0
      0.02      2358      2238         0
      0.06      2379      2914         0
      0.06      2394      2342         0
      0.06      2398      2524         0
      0.04      2399      2141         0
      0.03      2414      2273         0
      0.05      2424      2507         0
      0.06      2433      2341         0
      0.06      2439      2367         0
      0.05      2451      2474         0
      0.04      2452      2843         0
      0.06      2472      2497         0
      0.04      2507      2275         0
      0.05      2515      2750         0
      0.04      2544      2648         0
      0.03      2554      2282         0
      0.06      2560      2763         0
      0.06      2579      2486         0
      0.04      2603      2699         0
      0.05      2679      2586         0
      0.04      2695      2387         0
      0.05      2704      2672         0
      0.06      2708      2503         0
      0.02      2720      2993         0
      0.04      2727      2907         0
      0.05      2733      2682         0
      0.06      2744      2678         0
      0.06      2771      2233         0
      0.02      2793      3055         0
      0.04      2847      2816         0
      0.05      2860      2473         0
      0.05      2923      2637         0
      0.04      2944      3218         0
      0.05      3043      2489         0
      0.05      3129      2752         0
      0.03      3270      2982         0
      0.06      3279      3040         0
      0.04      3309      3224         0
      0.05      3365      3183         0
      0.04      3576      3593         0
      0.03      3711      3604         0
      0.06      3719      3603         0
      0.03      3723      3092         0
      0.06      3802      3633         0
