  distance  queryIdx  trainIdx    imgIdx
      0.30         0        19         0
      0.12         1         7         0
      0.30         2       335         0
      0.30         3       220         0
      0.30         4        75         0
      0.34         5       277         0
      0.29         6        92         0
      0.25         7         9         0
      0.29         8       612         0
      0.31         9       752         0
      0.06        10        12         0
      0.25        11        54         0
      0.34        12        42         0
      0.14        13        23         0
      0.24        14        18         0
      0.27        15       110         0
      0.05        16        38         0
      0.25        17        45         0
      0.29        18        51         0
      0.29        19        46         0
      0.18        20        25         0
      0.27        21       271         0
      0.09        22        26         0
      0.16        23        42         0
      0.31        24       348         0
      0.26        25       394         0
      0.15        26        46         0
      0.31        27       150         0
      0.04        28        64         0
      0.24        29       212         0
      0.03        30        60         0
      0.27        31        86         0
      0.16        32        56         0
      0.26        33         3         0
      0.36        34       733         0
      0.12        35        67         0
      0.26        36       711         0
      0.27        37       154         0
      0.35        38       561         0
      0.28        39       342         0
      0.28        40         8         0
      0.21        41        18         0
      0.25        42       528         0
      0.11        43        80         0
      0.19        44       116         0
      0.25        45       931         0
      0.31        46        13         0
      0.29        47       173         0
      0.28        48       528         0
      0.33        49       613         0
      0.19        50        18         0
      0.24        51       193         0
      0.31        52        52         0
      0.36        53       469         0
      0.24        54       796         0
      0.42        55        32         0
      0.07        56        91         0
      0.33        57       884         0
      0.30        58       293         0
      0.35        59        27         0
      0.14        60        92         0
      0.07        61        83         0
      0.29        62       154         0
      0.33        63         0         0
      0.28        64       262         0
      0.27        65       464         0
      0.26        66       370         0
      0.32        67       115         0
      0.05        68       112         0
      0.30        69       839         0
      0.31        70       680         0
      0.29        71       343         0
      0.32        72       155         0
      0.42        73       190         0
      0.37        74       415         0
      0.26        75        51         0
      0.09        76       114         0
      0.30        77       390         0
      0.42        78       149         0
      0.26        79       151         0
      0.30        80       469         0
      0.11        81       125         0
      0.27        82       219         0
      0.34        83       744         0
      0.04        84       108         0
      0.25        85       335         0
      0.32        86       727         0
      0.23        87         1         0
      0.28        88       528         0
      0.33        89       126         0
      0.29        90       604         0
      0.37        91       826         0
      0.04        92       119         0
      0.31        93       518         0
      0.29        94       312         0
      0.30        95       111         0
      0.28        96       588         0
      0.28        97       156         0
      0.26        98       512         0
      0.03        99       134         0
      0.30       100       289         0
      0.30       101       706         0
      0.10       102       147         0
      0.22       103         3         0
      0.23       104       250         0
      0.31       105        65         0
      0.30       106       141         0
      0.26       107       110         0
      0.27       108       110         0
      0.21       109       181         0
      0.29       110       532         0
