  distance  queryIdx  trainIdx    imgIdx
      0.30         0         7         0
      0.05         1         6         0
      0.34         2       345         0
      0.29         3       759         0
      0.29         4       283         0
      0.30         5       117         0
      0.31         6        58         0
      0.05         7        10         0
      0.24         8        10         0
      0.27         9         1         0
      0.32        10       526         0
      0.30        11        39         0
      0.15        12        26         0
      0.29        13       135         0
      0.05        14        15         0
      0.29        15       832         0
      0.32        16       582         0
      0.25        17        30         0
      0.11        18        25         0
      0.05        19        47         0
      0.27        20       438         0
      0.33        21       128         0
      0.32        22       188         0
      0.06        23        34         0
      0.29        24       288         0
      0.03        25        48         0
      0.25        26       433         0
      0.27        27        76         0
      0.20        28        39         0
      0.26        29       329         0
      0.35        30       453         0
      0.31        31       426         0
      0.26        32       261         0
      0.23        33        23         0
      0.32        34       480         0
      0.27        35        76         0
      0.17        36        50         0
      0.21        37        23         0
      0.28        38       884         0
      0.04        39        67         0
      0.27        40       316         0
      0.35        41       316         0
      0.32        42       184         0
      0.34        43       277         0
      0.33        44       512         0
      0.40        45       638         0
      0.31        46       457         0
      0.26        47       167         0
      0.33        48       334         0
      0.28        49       367         0
      0.27        50         7         0
      0.33        51       194         0
      0.32        52        81         0
      0.42        53        48         0
      0.07        54        75         0
      0.33        55         2         0
      0.08        56        95         0
      0.28        57       665         0
      0.10        58        73         0
      0.39        59       506         0
      0.23        60        88         0
      0.32        61       223         0
      0.24        62       168         0
      0.05        63       110         0
      0.29        64       367         0
      0.25        65        58         0
      0.33        66       347         0
      0.28        67       760         0
      0.24        68       288         0
      0.34        69       376         0
      0.31        70        25         0
      0.33        71       125         0
      0.25        72       432         0
      0.26        73       314         0
      0.27        74        66         0
      0.18        75         6         0
      0.10        76       102         0
      0.32        77       799         0
      0.33        78       524         0
      0.11        79       113         0
      0.31        80       603         0
      0.28        81       112         0
      0.35        82       844         0
      0.21        83       117         0
      0.30        84        10         0
      0.21        85       849         0
      0.29        86       163         0
      0.04        87       111         0
      0.37        88       113         0
      0.24        89       171         0
      0.21        90       193         0
      0.30        91       101         0
      0.08        92       133         0
      0.28        93       193         0
      0.32        94       685         0
      0.34        95       196         0
      0.20        96       179         0
      0.27        97        28         0
      0.27        98       111         0
      0.27        99        92         0
      0.24       100         1         0
      0.32       101       162         0
      0.12       102       129         0
      0.05       103       127         0
      0.24       104       748         0
      0.28       105       791         0
      0.23       106       137         0
      0.30       107       114         0
      0.28       108       766         0
      0.08       109       157         0
      0.04       110       137         0
      0.31       111       205         0
      0.23       112       111         0
      0.29       113       601         0
      0.27       114       439         0
      0.27       115       681         0
      0.07       116       123         0
      0.36       117       299         0
      0.30       118       631         0
      0.04       119       154         0
      0.12       120       140         0
      0.30       121         7         0
      0.26       122       145         0
      0.23       123         4         0
      0.33       124       855         0
      0.23       125       507         0
      0.32       126       555         0
      0.08       127       175         0
      0.25       128       510         0
      0.22       129       212         0
      0.23       130       428         0
      0.30       131       135         0
      0.28       132       663         0
      0.28       133       114         0
      0.32       134       451         0
      0.28       135       115         0
      0.17       136       143         0
      0.28       137       135         0
      0.28       138        59         0
      0.24       139       283         0
      0.32       140       179         0
      0.35       141       209         0
      0.30       142        96         0
      0.30       143       343         0
      0.11       144       188         0
      0.21       145       126         0
      0.26       146        30         0
      0.22       147       456         0
      0.04       148       171         0
      0.29       149       538         0
      0.31       150       175         0
      0.33       151       624         0
      0.17       152       184         0
      0.18       153       387         0
      0.27       154       334         0
      0.28       155       893         0
      0.28       156       538         0
      0.25       157       100         0
      0.04       158       249         0
      0.25       159       170         0
      0.31       160       225         0
      0.29       161       860         0
      0.26       162       362         0
      0.34       163       112         0
      0.28       164       604         0
      0.27       165       396         0
      0.31       166       536         0
      0.38       167       452         0
      0.30       168       299         0
      0.32       169       345         0
      0.34       170       112         0
      0.29       171       395         0
      0.28       172       584         0
      0.32       173       168         0
      0.31       174        18         0
      0.09       175       170         0
      0.35       176       494         0
      0.07       177       226         0
      0.32       178       289         0
      0.09       179       195         0
      0.26       180       861         0
      0.26       181       137         0
      0.03       182       243         0
      0.31       183       521         0
      0.28       184       271         0
      0.38       185       832         0
      0.30       186        35         0
      0.31       187       875         0
      0.33       188       698         0
      0.26       189       113         0
      0.32       190       452         0
      0.21       191       323         0
      0.31       192       828         0
      0.14       193       161         0
      0.26       194       704         0
      0.28       195       195         0
      0.24       196       601         0
      0.21       197       270         0
      0.30       198       301         0
      0.24       199       337         0
      0.34       200       832         0
      0.23       201       166         0
      0.23       202       735         0
      0.28       203       743         0
      0.27       204        28         0
      0.21       205       307         0
      0.22       206       240         0
      0.28       207       884         0
      0.35       208       444         0
      0.36       209       882         0
      0.34       210       842         0
      0.30       211       727         0
      0.26       212       503         0
      0.29       213       229         0
      0.31       214       480         0
      0.43       215       269         0
      0.24       216       199         0
      0.07       217       221         0
      0.29       218       516         0
      0.05       219       235         0
      0.33       220       395         0
      0.16       221       298         0
      0.28       222       350         0
      0.21       223       234         0
      0.25       224       495         0
      0.34       225       578         0
      0.37       226       349         0
      0.08       227       277         0
      0.29       228       200         0
      0.11       229       213         0
      0.28       230       168         0
      0.27       231       439         0
      0.33       232       552         0
      0.31       233       735         0
      0.27       234       869         0
      0.26       235       376         0
      0.23       236       137         0
