  distance  queryIdx  trainIdx    imgIdx
      0.03         0         2         0
      0.23         1        13         0
      0.05         2        26         0
      0.08         3        24         0
      0.06         4        17         0
      0.08         5        20         0
      0.24         6       286         0
      0.06         7        25         0
      0.06         8        23         0
      0.05         9        44         0
      0.08        10        38         0
      0.24        11      2247         0
      0.25        12      1710         0
      0.14        13        40         0
      0.04        14        46         0
      0.05        15        43         0
      0.24        16      2565         0
      0.27        17      1178         0
      0.21        18       286         0
      0.08        19        62         0
      0.06        20        66         0
      0.35        21      2207         0
      0.04        22        56         0
      0.32        23       294         0
      0.24        24       436         0
      0.27        25        36         0
      0.33        26      2770         0
      0.08        27        80         0
      0.32        28      2414         0
      0.32        29       393         0
      0.19        30        91         0
      0.27        31      1356         0
      0.25        32       589         0
      0.21        33        75         0
      0.30        34      1468         0
      0.06        35        54         0
      0.26        36       812         0
      0.28        37       600         0
      0.26        38        90         0
      0.27        39      2565         0
      0.23        40       709         0
      0.27        41       459         0
      0.29        42       366         0
      0.12        43        94         0
      0.23        44       457         0
      0.08        45        82         0
      0.07        46        69         0
      0.18        47        75         0
      0.27        48       108         0
      0.21        49        15         0
      0.28        50       719         0
      0.04        51        91         0
      0.25        52      3181         0
      0.03        53        75         0
      0.32        54       343         0
      0.27        55      2539         0
      0.26        56      1676         0
      0.25        57       852         0
      0.24        58        68         0
      0.17        59       100         0
      0.13        60       113         0
      0.22        61        66         0
      0.23        62      1037         0
      0.27        63       966         0
      0.25        64      1124         0
      0.25        65       934         0
      0.22        66      1064         0
      0.23        67        26         0
      0.26        68       123         0
      0.22        69      2501         0
      0.04        70       123         0
      0.24        71      1563         0
      0.17        72       163         0
      0.07        73       186         0
      0.25        74      3169         0
      0.26        75       101         0
      0.25        76      2543         0
      0.28        77       219         0
      0.23        78      1520         0
      0.17        79       138         0
      0.32        80       783         0
      0.03        81       124         0
      0.32        82       353         0
      0.32        83       969         0
      0.27        84       232         0
      0.29        85       381         0
      0.25        86       335         0
      0.23        87      1396         0
      0.08        88       135         0
      0.23        89       175         0
      0.06        90       162         0
      0.30        91       526         0
      0.05        92       168         0
      0.03        93       181         0
      0.10        94       177         0
      0.29        95      1413         0
