  distance  queryIdx  trainIdx    imgIdx
      0.32         0        92         0
      0.24         1       100         0
      0.31         2       341         0
      0.25         3       713         0
      0.23         4       123         0
      0.29         5       539         0
      0.05         6         1         0
      0.27         7        50         0
      0.27         8         4         0
      0.29         9       677         0
      0.05        10         7         0
      0.31        11       465         0
      0.29        12       902         0
      0.26        13       677         0
      0.27        14       806         0
      0.05        15        14         0
      0.27        16       189         0
      0.31        17       293         0
      0.31        18       174         0
      0.32        19       889         0
      0.33        20        18         0
      0.30        21       875         0
      0.30        22       154         0
      0.21        23        37         0
      0.33        24       799         0
      0.11        25        18         0
      0.15        26        12         0
      0.24        27        92         0
      0.24        28       315         0
      0.32        29       298         0
      0.25        30        17         0
      0.29        31       802         0
      0.28        32       677         0
      0.25        33        92         0
      0.06        34        23         0
      0.28        35       166         0
      0.27        36        18         0
      0.26        37       452         0
      0.32        38       315         0
      0.20        39        28         0
      0.36        40       555         0
      0.29        41       284         0
      0.36        42       293         0
      0.28        43        23         0
      0.32        44        65         0
      0.30        45       307         0
      0.31        46       310         0
      0.05        47        19         0
      0.03        48        25         0
      0.31        49        25         0
      0.17        50        36         0
      0.26        51       408         0
      0.35        52       228         0
      0.29        53       745         0
      0.32        54       453         0
      0.36        55       706         0
      0.32        56       153         0
      0.25        57       497         0
      0.23        58       711         0
      0.31        59       455         0
      0.30        60       711         0
      0.35        61       245         0
      0.28        62       808         0
      0.30        63       749         0
      0.30        64       749         0
      0.29        65       473         0
      0.25        66        65         0
      0.04        67        39         0
      0.27        68       221         0
      0.29        69       713         0
      0.35        70       966         0
      0.35        71       545         0
      0.28        72       658         0
      0.10        73        58         0
      0.33        74       246         0
      0.07        75        54         0
      0.27        76        35         0
      0.32        77       867         0
      0.31        78        38         0
      0.29        79       310         0
      0.37        80       415         0
      0.26        81       327         0
      0.28        82        62         0
      0.34        83       491         0
      0.30        84       695         0
      0.29        85       713         0
      0.26        86       262         0
      0.36        87       304         0
      0.23        88        60         0
      0.32        89       102         0
      0.32        90       981         0
      0.26        91       139         0
      0.27        92        99         0
      0.33        93       963         0
      0.33        94       687         0
      0.08        95        56         0
      0.30        96       142         0
      0.31        97       120         0
      0.23        98       191         0
      0.30        99       307         0
      0.25       100       157         0
      0.26       101       341         0
      0.10       102        76         0
      0.30       103        18         0
      0.35       104       667         0
      0.29       105       485         0
      0.33       106       581         0
      0.28       107        23         0
      0.31       108       307         0
      0.39       109       678         0
      0.05       110        63         0
      0.04       111        87         0
      0.27       112       510         0
      0.11       113        79         0
      0.28       114       133         0
      0.28       115       749         0
      0.24       116       943         0
      0.21       117        83         0
      0.28       118       102         0
      0.29       119       987         0
      0.26       120       825         0
      0.28       121       153         0
      0.27       122       711         0
      0.07       123       116         0
      0.33       124       100         0
      0.31       125       293         0
      0.21       126       145         0
      0.05       127       103         0
      0.31       128       816         0
      0.12       129       102         0
      0.12       130        56         0
