  distance  queryIdx  trainIdx | 
      0.05         1         6
      0.05         7        10
      0.05        14        15
      0.05        19        47
      0.03        25        48
      0.04        39        67
      0.05        63       110
      0.04        87       111
      0.05       103       127
      0.04       110       137
      0.04       119       154
      0.04       148       171
      0.04       158       249
      0.03       182       243
      0.05       219       235
      0.05       239       269
      0.03       246       263
      0.05       248       272
      0.04       293       276
      0.06       294       320
      0.03       323       348
      0.05       383       350
      0.03       400       399
      0.05       402       389
      0.06       463       464
      0.06       470       476
      0.05       472       465
      0.05       484       394
      0.04       496       493
      0.03       498       495
      0.05       514       445
      0.04       519       456
      0.05       527       643
      0.05       528       491
      0.05       537       496
      0.05       545       537
      0.04       564       461
      0.05       568       522
      0.03       572       553
      0.03       590       627
      0.03       620       515
      0.04       638       581
      0.04       641       601
      0.05       667       678
      0.03       683       709
      0.05       696       666
      0.03       705       527
      0.04       710       663
      0.02       765       665
      0.03       774       737
      0.04       830       817
      0.05       911       752
      0.05       924       826
      0.05       930       772
      0.05       950       783
      0.05       970       893
