  distance  queryIdx  trainIdx | 
      0.05         1         6
      0.29         3       759
      0.05         7        10
      0.15        12        26
      0.05        14        15
      0.29        15       832
      0.25        17        30
      0.11        18        25
      0.05        19        47
      0.27        20       438
      0.06        23        34
      0.03        25        48
      0.20        28        39
      0.26        29       329
      0.27        35        76
      0.17        36        50
      0.21        37        23
      0.04        39        67
      0.27        50         7
      0.07        54        75
      0.08        56        95
      0.10        58        73
      0.23        60        88
      0.24        62       168
      0.05        63       110
      0.33        66       347
      0.25        72       432
      0.10        76       102
      0.11        79       113
      0.31        80       603
      0.21        83       117
      0.21        85       849
      0.04        87       111
      0.08        92       133
      0.34        95       196
      0.20        96       179
      0.27        99        92
      0.24       100         1
      0.12       102       129
      0.05       103       127
      0.24       104       748
      0.28       105       791
      0.08       109       157
      0.04       110       137
      0.27       114       439
      0.27       115       681
      0.07       116       123
      0.30       118       631
      0.04       119       154
      0.12       120       140
      0.26       122       145
      0.23       123         4
      0.33       124       855
      0.23       125       507
      0.08       127       175
      0.22       129       212
      0.28       133       114
      0.17       136       143
      0.24       139       283
      0.30       142        96
      0.30       143       343
      0.11       144       188
      0.21       145       126
      0.04       148       171
      0.17       152       184
      0.18       153       387
      0.28       156       538
      0.25       157       100
      0.04       158       249
      0.29       171       395
      0.31       174        18
      0.09       175       170
      0.35       176       494
      0.07       177       226
      0.09       179       195
      0.03       182       243
      0.32       190       452
      0.21       191       323
      0.14       193       161
      0.26       194       704
      0.21       197       270
      0.30       198       301
      0.23       201       166
      0.21       205       307
      0.22       206       240
      0.31       214       480
      0.24       216       199
      0.07       217       221
      0.05       219       235
      0.16       221       298
      0.21       223       234
      0.08       227       277
      0.11       229       213
      0.33       232       552
      0.27       234       869
      0.05       239       269
      0.31       244       325
      0.03       246       263
      0.05       248       272
      0.06       249       300
      0.08       252       322
      0.14       254       268
      0.27       257       187
      0.28       259       160
      0.06       262       281
      0.08       265       302
      0.07       268       319
      0.32       271       331
      0.15       274       232
      0.26       275       841
      0.13       277       293
      0.24       279       146
      0.30       280       274
      0.07       281       286
      0.29       284        41
      0.19       285       304
      0.26       289       180
      0.10       290       291
      0.04       293       276
      0.06       294       320
      0.18       295       223
      0.14       296       273
      0.08       297       330
      0.32       298        29
      0.27       300       205
      0.31       302       309
      0.27       303       366
      0.18       304       379
      0.27       306       457
      0.30       307        45
      0.22       309       612
      0.12       310       375
      0.07       314       368
      0.32       316       720
      0.16       317       316
      0.29       319       679
      0.03       323       348
      0.29       325       430
      0.27       326       308
      0.25       327       370
      0.06       333       346
      0.26       335       341
      0.09       337       338
      0.09       340       314
      0.26       341       101
      0.07       346       377
      0.06       349       284
      0.25       356       738
      0.24       357       446
      0.07       360       382
      0.22       361       661
      0.27       366       333
      0.10       370       352
      0.36       371       857
      0.32       372       750
      0.32       374       550
      0.28       377       207
      0.26       379       875
      0.12       382       400
      0.05       383       350
      0.15       385       349
      0.15       386       418
      0.08       389       396
      0.28       391       248
      0.08       392       428
      0.06       393       361
      0.12       394       416
      0.28       396       634
      0.03       400       399
      0.05       402       389
      0.14       405       403
      0.08       408       360
      0.30       413       534
      0.23       414       471
      0.30       415       287
      0.28       424       583
      0.33       425       455
      0.28       427       317
      0.18       429       193
      0.20       430       411
      0.08       433       458
      0.25       434       747
      0.10       436       393
      0.10       438       335
      0.10       440       501
      0.07       441       413
      0.07       444       440
      0.24       445       840
      0.27       448       436
      0.06       451       332
      0.32       453        54
      0.06       463       464
      0.31       465        11
      0.06       470       476
      0.05       472       465
      0.29       473        65
      0.10       474       617
      0.09       479       487
      0.05       484       394
      0.19       489       443
      0.26       493       158
      0.04       496       493
      0.20       497       530
      0.03       498       495
      0.20       501       454
      0.12       503       505
      0.11       506       473
      0.27       511       474
      0.05       514       445
      0.09       518       508
      0.04       519       456
      0.12       522       575
      0.29       525       798
      0.17       526       785
      0.05       527       643
      0.05       528       491
      0.11       530       549
      0.11       533       539
      0.28       535       879
      0.05       537       496
      0.27       538       524
      0.28       543       622
      0.19       544       275
      0.05       545       537
      0.34       547       815
      0.11       550       431
      0.09       551       604
      0.26       558       135
      0.09       559       563
      0.24       563       545
      0.04       564       461
      0.05       568       522
      0.06       569       516
      0.03       572       553
      0.23       576       513
      0.15       577       642
      0.15       580       555
      0.13       582       529
      0.26       587       792
      0.03       590       627
      0.22       593       551
      0.13       594       554
      0.13       596       526
      0.28       602       828
      0.07       603       504
      0.22       604       730
      0.07       605       510
      0.10       610       623
      0.09       612       599
      0.03       620       515
      0.22       621       401
      0.28       622       609
      0.06       624       610
      0.27       626       677
      0.28       627       564
      0.08       633       556
      0.17       635       318
      0.04       638       581
      0.08       639       469
      0.04       641       601
      0.37       646       657
      0.16       648       544
      0.11       651       743
      0.29       654       315
      0.27       656       683
      0.09       657       569
      0.26       658       217
      0.09       665       716
      0.05       667       678
      0.09       668       674
      0.28       674       383
      0.15       678       633
      0.29       679       174
      0.08       680       565
      0.13       682       600
      0.03       683       709
      0.17       684       625
      0.07       686       587
      0.31       691       509
      0.13       694       586
      0.05       696       666
      0.31       701       520
      0.22       704       764
      0.03       705       527
      0.09       707       690
      0.04       710       663
      0.23       711        58
      0.23       713       378
      0.10       720       560
      0.21       725       568
      0.26       731       570
      0.31       736       888
      0.13       737       626
      0.12       738       611
      0.23       740       417
      0.29       745        53
      0.18       748       722
      0.28       749       115
      0.12       751       746
      0.32       753       441
      0.26       757       648
      0.02       765       665
      0.14       766       745
      0.03       774       737
      0.16       777       859
      0.08       778       727
      0.30       781       830
      0.26       782       649
      0.23       786       852
      0.16       787       816
      0.28       788       578
      0.29       789       715
      0.12       790       790
      0.14       796       739
      0.16       799       659
      0.10       801       735
      0.27       808       780
      0.33       810       429
      0.26       812       670
      0.19       819       773
      0.17       820       680
      0.29       822       658
      0.20       826       706
      0.23       828       754
      0.04       830       817
      0.07       837       779
      0.30       838       183
      0.20       841       843
      0.10       843       858
      0.12       845       717
