  distance  queryIdx  trainIdx | 
      0.05        16        38
      0.04        28        64
      0.03        30        60
      0.05        68       112
      0.04        84       108
      0.04        92       119
      0.03        99       134
      0.04       132       151
      0.04       156       229
      0.03       178       202
      0.04       188       233
      0.03       295       329
      0.03       318       377
      0.04       339       295
      0.04       364       381
      0.02       393       405
      0.04       445       461
      0.04       492       451
      0.05       517       482
      0.04       539       509
      0.04       580       569
      0.03       599       470
      0.03       606       579
      0.04       650       549
      0.03       677       611
      0.02       821       851
      0.02       917       861
      0.04       950       788
      0.04       995       832
